TABEL: proker_detail
FORMAT: kolom dipisah |
CATATAN:
- Kolom waktu (lama) = KOSONGKAN / hapus dari sheet
- waktu_teks = teks bebas untuk ditampilkan
- estimasi_tanggal = YYYY-MM-DD, hanya untuk event (untuk countdown & status)
- rab = JSON string, kosongkan jika belum ada anggaran
- panitia = pisah koma
- Format kolom proker_id = Plain text di Sheets

proker_id | tujuan | waktu_teks | estimasi_tanggal | lokasi | sasaran | pemateri | panitia | rab

01 | Meningkatkan kemampuan bahasa Jepang anggota baru secara rutin melalui pembelajaran terstruktur setiap minggu, mencakup kosakata, tata bahasa, dan percakapan dasar. | Setiap Kamis, 14:00–16:00 |  | Ruang Kelas SMKN 1 Cikarang Barat | Anggota baru (Angkatan 13) | Pengurus Angkatan 12 | Sie Akademik, Ketua |

02 | Mengembangkan kemampuan akademik bahasa Jepang anggota melalui latihan soal, evaluasi mingguan, dan pembekalan materi lanjutan untuk persiapan lomba maupun ujian. | Setiap minggu |  | Ruang Kelas SMKN 1 Cikarang Barat | Seluruh anggota aktif | Sie Akademik | Sie Akademik, Ketua |

03 | Mewadahi dan mengembangkan minat serta bakat anggota di bidang seni dan budaya Jepang seperti origami, kaligrafi kanji, cosplay, menggambar manga, dan lainnya. | Setiap Kamis, 14:00–16:00 |  | Ruang Kelas SMKN 1 Cikarang Barat | Seluruh anggota aktif |  | Sie Minat Bakat, Ketua |

04 | Mempererat hubungan antar anggota dan pengurus melalui kegiatan organisasi rutin seperti rapat bulanan, evaluasi, dan kegiatan kekompakan internal JCOSASI. | Setiap bulan |  | Ruang Kelas SMKN 1 Cikarang Barat | Seluruh anggota aktif & pengurus | Ketua | Seluruh pengurus |

05 | Membekali calon pengurus baru Angkatan 13 dengan pengetahuan organisasi, kepemimpinan, dan nilai-nilai JCOSASI agar siap menjalankan roda organisasi periode berikutnya. | Sabtu, 25 Juli 2026 | 2026-07-25 | Ruang Kelas SMKN 1 Cikarang Barat | Calon pengurus Angkatan 13 | Pengurus Angkatan 12, Alumni | Ketua, Wakil Ketua, Sie Acara, Sie Konsumsi | [{"item":"Konsumsi peserta","estimasi":"200000","aktual":""},{"item":"Materi & ATK","estimasi":"50000","aktual":""},{"item":"Dokumentasi","estimasi":"30000","aktual":""}]

06 | Memperkenalkan JCOSASI kepada siswa baru melalui kegiatan demo ekstrakurikuler saat MPLS, agar mereka tertarik bergabung dan mengenal budaya serta bahasa Jepang. | Menyesuaikan jadwal MPLS |  | Lapangan / Aula SMKN 1 Cikarang Barat | Siswa baru SMKN 1 Cikarang Barat | Pengurus Angkatan 12 | Ketua, Wakil Ketua, Sie Acara, Sie Humas | [{"item":"Properti demo","estimasi":"100000","aktual":""},{"item":"Konsumsi panitia","estimasi":"50000","aktual":""}]

